"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","day","temp","visib","wdsp","prcp","fog","collisons"
"1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,1,83.6,9.7,4.1,0,0,-0.0996047273680093
"2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,3,80.3,10,3.8,0,0,0.207226577029
"3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,4,79.8,10,2.9,0,0,1.38734697855596
"4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,5,81.8,9.2,3.6,0.06,0,-1.35053235298658
"5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,6,86.7,9.4,3.8,0,0,0.525859085441278
"6",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,7,81.9,10,3.1,0,0,1.08051567415895
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,2,84.9,9.5,3.1,0,0,-0.666062520100949
"8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,1,80.6,8.5,3.1,0.59,0,-0.972893824497958
"9",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,3,78.5,10,3.5,0.09,0,-0.158610747444357
"10",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,4,76.5,10,3.4,0,0,-0.264821583581783
"11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,5,77.1,10,1.9,0,0,0.219027781044269
"12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,6,77.4,10,2.3,0,0,0.360642229227504
"13",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,7,78.9,9.9,3,0,0,0.667473533624513
"14",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,2,78.5,10,3.5,0,1,-0.123207135398548
"15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,1,79.7,9.1,2.8,0,0,-0.618857704039871
"16",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,3,79,9.2,4,0.26,0,-0.217616767520705
"17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,4,84.6,9.4,3.5,0,0,1.19852771431164
"18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,5,85.3,7.2,3.7,0,1,0.148220556952652
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,6,73.3,7.5,3.4,1.76,0,-0.288423991612323
"20",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,7,67.2,7.4,6.5,0.17,0,0.679274737639783
"21",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,2,68.1,9.8,4.1,0.43,0,-0.217616767520705
"22",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,1,72.5,10,2,0,0,-0.571652887978792
"23",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,3,76,8.9,3,0,0,-0.489044459871905
"24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,4,80.3,8.1,6,0.15,0,0.325238617181695
"25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2012,5,76.5,10,4.2,0,0,0.773684369761939
"26",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2012,6,78,8.9,4.3,0,1,0.679274737639783
"27",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2012,7,76.6,9.1,4.4,0.6,0,1.08051567415895
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012,2,75.5,7,3.9,0,1,-0.394634827749749
"29",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2012,1,71.7,9.4,3.2,0.18,0,-2.01139977784168
"30",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2012,3,73.1,10,2.2,0.01,0,-0.194014359490166
"31",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012,4,73.4,10,3.8,0,0,-0.0760023193374701
"32",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,5,72.2,7.8,2.5,0.55,1,0.820889185823018
"33",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,6,75,6.2,2.7,0.11,1,0.278033801120617
"34",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,7,77.9,6,4.4,0,1,0.502256677410739
"35",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,2,77.9,5.7,4.1,0,1,0.254431393090078
"36",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,1,78.1,5.8,6.1,0,1,-0.335628807673401
"37",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,3,77.3,8.9,5.5,0.49,0,0.549461493471817
"38",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,4,75.2,10,1.2,0.01,0,0.00660610876941692
"39",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,5,77.8,8.8,1.1,0,0,-0.217616767520705
"40",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,6,78.2,9.3,2.3,0,0,0.407847045288583
"41",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,7,75.3,7.6,5.4,0,1,0.832690389838287
"42",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,2,77.7,7.8,6.9,1.1,0,-0.465442051841366
"43",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,1,77.8,8.7,5.7,0.62,0,-0.489044459871905
"44",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,3,76.3,9.2,4.3,0.05,0,-0.500845663887175
"45",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,4,76,9.6,2.3,0,0,-0.312026399642862
"46",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,5,73.6,6.5,3.5,0.01,1,0.655672329609244
"47",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,6,74,6.7,3.1,0.15,1,0.785485573777209
"48",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,7,77.9,9.5,3.3,0,0,0.325238617181695
"49",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,2,69.8,8.4,4.1,0.01,0,-0.0760023193374701
"50",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,1,68.7,10,1.3,0.23,0,-0.937490212452149
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,3,71.4,10,0.8,0,0,-0.866682988360532
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,4,72.8,10,2.5,0,0,-0.760472152223106
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,5,73.8,9.8,1.7,0,0,-0.500845663887175
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,6,74.7,8.9,2,0,0,0.325238617181695
"55",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,7,77.3,9.3,2,0,0,0.643871125593974
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2012,2,75.7,7.3,3.2,0.01,1,-0.854881784345262
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2012,1,73.9,10,4.6,0,0,-0.890285396391071
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2012,3,71.9,8.6,2.7,0.01,1,0.0184073127846865
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2012,4,77.9,9,6,0.75,0,0.4786542693802
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2012,5,73.3,10,4.7,0.01,0,0.0420097208152257
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2012,6,72,10,2.5,0,0,0.844491593853557
"62",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2012,7,78.7,9.9,3.9,0,0,1.82399152712093
"63",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012,2,81.6,9.9,4.7,0,0,-0.37103241971921
"64",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012,1,75.4,9.8,3.2,0,0,-1.48034559715455
"65",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2012,3,73.8,10,4.5,0,0,-2.04680338988749
"66",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2012,4,72.6,8.8,4.7,0.02,0,0.702877145670322
"67",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2012,5,75.2,6.7,5.4,0.13,0,0.643871125593974
